Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word,TRUE
WE SOLUTIONS LIMITED,10256,we solutions,we,WEP Solutions,105838,99.2,we solutions,WEP Solutions,105838,92.8,we solutions,WEP Solutions,105838,92.8,
Wurth Finance International B.V.,16161,wurth finance international b.v.,wurth,Uniworth International,105530,77.39999999999999,wurth finance,INA,65640,83.4,wurth finance international,International,206505,91.6,Wurth
Xstrata Canada Corporation,4976,xstrata canada corporation,xstrata,Xstrata Canada Preferred Series 2,162093,92.2,xstrata canada,Xstrata Canada Preferred Series H,162094,92.2,xstrata canada corporation,AB Corporation,23877,91.8,Xstrata
Xstrata Canada Financial Corporation,5120,xstrata canada financial corporation,xstrata,Xstrata Canada Preferred Series H,162094,91.0,xstrata canada,Xstrata Canada Preferred Series 3,148354,91.0,xstrata canada financial,Financial Securities,72530,88.0,Xstrata
Xstrata Finance (Canada) Limited,5098,xstrata finance (canada),xstrata,Xstrata (Non-NASDAQ OTC),241002,92.4,xstrata finance,Xstrata,51814,89.0,xstrata finance (canada),Xstrata,51814,89.0,Xstrata
Xstrata Finance (Dubai) Limited,2701,xstrata finance (dubai),xstrata,Xstrata (XETRA),316814,91.6,xstrata finance,Xstrata,51814,89.4,xstrata finance (dubai),Xstrata AG,51815,89.4,Xstrata
"YANLORD LAND (HK) CO., LIMITED",10483,yanlord land (hk),yanlord,Yanlord Land Group,116385,94.8,yanlord land,Yanlord Land Group,116385,94.8,yanlord land (hk),Land,111227,87.6,Yanlord
YCC HOLDINGS LLC,22282,ycc holdings,ycc,YCC Participations Manufacturing,124263,87.2,ycc holdings,C Holdings,24873,98.2,ycc holdings,C Holdings,24873,98.2,YCC
YGR International Limited,9477,ygr international,ygr,Moneygram International,134650,97.0,ygr international,International,206505,97.4,ygr international,International,206505,97.4,YGR
YINSON TMC SDN. BHD.,15979,yinson tmc sdn. bhd.,yinson,Yinson Holdings,107354,90.2,yinson tmc,NS,121444,83.6,yinson tmc sdn.,SDN,122462,85.2,Yinson
